PERIOD_BEGIN,PERIOD_END,PERIOD_DURATION,REGION_TYPE,REGION_TYPE_ID,TABLE_ID,IS_SEASONALLY_ADJUSTED,REGION,CITY,STATE,STATE_CODE,PROPERTY_TYPE,PROPERTY_TYPE_ID,MEDIAN_SALE_PRICE,MEDIAN_SALE_PRICE_MOM,MEDIAN_SALE_PRICE_YOY,MEDIAN_LIST_PRICE,MEDIAN_LIST_PRICE_MOM,MEDIAN_LIST_PRICE_YOY,MEDIAN_PPSF,MEDIAN_PPSF_MOM,MEDIAN_PPSF_YOY,MEDIAN_LIST_PPSF,MEDIAN_LIST_PPSF_MOM,MEDIAN_LIST_PPSF_YOY,HOMES_SOLD,HOMES_SOLD_MOM,HOMES_SOLD_YOY,PENDING_SALES,PENDING_SALES_MOM,PENDING_SALES_YOY,NEW_LISTINGS,NEW_LISTINGS_MOM,NEW_LISTINGS_YOY,INVENTORY,INVENTORY_MOM,INVENTORY_YOY,MONTHS_OF_SUPPLY,MONTHS_OF_SUPPLY_MOM,MONTHS_OF_SUPPLY_YOY,MEDIAN_DOM,MEDIAN_DOM_MOM,MEDIAN_DOM_YOY,AVG_SALE_TO_LIST,AVG_SALE_TO_LIST_MOM,AVG_SALE_TO_LIST_YOY,SOLD_ABOVE_LIST,SOLD_ABOVE_LIST_MOM,SOLD_ABOVE_LIST_YOY,PRICE_DROPS,PRICE_DROPS_MOM,PRICE_DROPS_YOY,OFF_MARKET_IN_TWO_WEEKS,OFF_MARKET_IN_TWO_WEEKS_MOM,OFF_MARKET_IN_TWO_WEEKS_YOY,PARENT_METRO_REGION,PARENT_METRO_REGION_METRO_CODE,LAST_UPDATED,Id
2020-07-01,2020-09-30,90,neighborhood,1,154428,0,"Oklahoma City, OK - Jackson",Oklahoma City,Oklahoma,OK,Single Family Residential,6,92500.0000,0.5040650407,2.7,68500.0000,0.01481481481,-0.08605737158,78.8001,0.3390296248,1.984182833,83.9310,0.1903232281,-0.04799354142,4,0.0000,1.0000,3,0.0000,0.5000,4,0.0000,1.0000,3,-0.25,2.0000,NULL,NULL,NULL,55.5000,-1,34.5000,0.9336,-0.008890126206,0.2564259895,0.2500,0,0.25,NULL,NULL,NULL,0.3333,-0.3333333333,-0.1666666667,"Oklahoma City, OK",36420,2025-08-01 14:37:32.7980000 +00:00,9407
2017-05-01,2017-07-31,90,neighborhood,1,55701,0,"Miami Beach, FL - North Shore",Miami Beach,Florida,FL,Single Family Residential,6,3010000.0000,-0.009868421053,NULL,4587500.0000,0,NULL,1066.9379,-0.01155450376,NULL,1246.0613,0,NULL,2,0.0000,NULL,1,-0.5000,NULL,2,0.0000,NULL,2,0,NULL,NULL,NULL,NULL,163.0000,69,NULL,0.8806,-0.02815022815,NULL,0.0000,0,NULL,NULL,NULL,NULL,0.0000,0,NULL,"Miami, FL",33124,2025-08-01 14:37:32.7980000 +00:00,9408
2021-03-01,2021-05-31,90,neighborhood,1,762062,0,"Bismarck, ND - Park Hill",Bismarck,North Dakota,ND,All Residential,-1,167880.0000,0.0648905804,0.01899848255,248500.0000,0.308583465,0.9497842291,115.0000,-0.03177878663,0.09924693287,108.2974,0.007696470063,-0.006262589287,9,0.1250,3.5000,9,0.1250,3.5000,6,-0.3333,-0.2500,8,0,-0.1111,NULL,NULL,NULL,65.0000,1,-35.0000,1.0003,-0.008272271037,0.002895309127,0.3333,-0.04166666667,-0.1666666667,NULL,NULL,NULL,0.0000,0,0,"Bismarck, ND",13900,2025-08-01 14:37:32.7980000 +00:00,9409
2013-02-01,2013-04-30,90,neighborhood,1,760675,0,"Wichita, KS - South Area",Wichita,Kansas,KS,Single Family Residential,6,85800.0000,-0.02389078498,0.2084507042,99500.0000,-0.004004004004,0.2453066333,55.2835,-0.009597152134,0.2988763932,58.0842,-0.004271476032,0.1255719432,17,0.0625,-0.2917,17,0.0625,-0.2917,15,-0.1176,-0.4000,31,0,-0.0606,NULL,NULL,NULL,178.0000,40.5,79.0000,0.9742,0.009124436224,0.014718766,0.2941,0.04411764706,0.1274509804,NULL,NULL,NULL,0.0000,0,0,"Wichita, KS",48620,2025-08-01 14:37:32.7980000 +00:00,9410
2023-08-01,2023-10-31,90,neighborhood,1,761934,0,"Wichita, KS - White Tail",Wichita,Kansas,KS,Townhouse,13,514000.0000,NULL,NULL,NULL,NULL,NULL,123.8853,NULL,NULL,NULL,NULL,NULL,1,0.0000,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20.0000,NULL,NULL,0.9790,NULL,NULL,0.0000,NULL,NULL,NULL,NULL,NULL,0.0000,NULL,NULL,"Wichita, KS",48620,2025-08-01 14:37:32.7980000 +00:00,9411
2022-11-01,2023-01-31,90,neighborhood,1,764009,0,"Fort Mohave, AZ - Tierra Verde",Fort Mohave,Arizona,AZ,Single Family Residential,6,212000.0000,-0.01829127113,0.06,162000.0000,-0.2633015007,-0.1469194313,168.2479,-0.04801551698,0.2043007289,118.6813,-0.3201255887,-0.3402125154,5,-0.1667,0.6667,3,-0.4000,0.0000,1,-0.6667,-0.5000,NULL,NULL,NULL,NULL,NULL,NULL,87.0000,37.5,29.0000,0.9632,-0.007981154676,0.001436874432,0.0000,-0.1666666667,-0.3333333333,NULL,NULL,NULL,0.3333,-0.06666666667,0.3333333333,"Lake Havasu City, AZ",29420,2025-08-01 14:37:32.7980000 +00:00,9412
2019-10-01,2019-12-31,90,neighborhood,1,172074,0,"Dallas, TX - Ledbetter Gardens",Dallas,Texas,TX,All Residential,-1,169000.0000,-0.05056179775,-0.1105263158,154999.5000,-0.08284319527,-0.3094252618,147.2125,0.01156601654,0.1272720375,99.2538,-0.3257790189,-0.199669975,1,-0.5000,-0.6667,4,-0.2000,NULL,4,0.3333,0.0000,4,0,0.0000,NULL,NULL,NULL,53.0000,11,40.0000,1.0000,0.007635597683,0,0.0000,0,0,NULL,NULL,NULL,0.2500,0.05,NULL,"Dallas, TX",19124,2025-08-01 14:37:32.7980000 +00:00,9413
2015-09-01,2015-11-30,90,neighborhood,1,556680,0,"Enumclaw, WA - Central Enumclaw",Enumclaw,Washington,WA,All Residential,-1,265000.0000,0.06042416967,0.1622807018,271750.0000,-0.009115770283,0.1370292887,211.5385,0.2575864502,0.5299465733,171.5708,-0.05012049643,0.07171929961,7,0.4000,-0.6111,15,0.0714,-0.2500,14,-0.1250,0.2727,6,-0.3333333333,-0.2500,NULL,NULL,NULL,5.0000,-5,-28.0000,1.0020,-0.02671648147,0.004980922676,0.4286,0.02857142857,0.09523809524,NULL,NULL,NULL,0.5333,-0.0380952381,0.2833333333,"Seattle, WA",42644,2025-08-01 14:37:32.7980000 +00:00,9414
2021-09-01,2021-11-30,90,neighborhood,1,549684,0,"Virginia Beach, VA - Chic's Beach",Virginia Beach,Virginia,VA,Condo/Co-op,3,369900.0000,-0.07293233083,-0.2600520104,367900.0000,0,-0.3310909091,232.4806,0.005268012099,-0.1019241797,208.0825,0,-0.2522033534,17,0.1333,0.1333,11,-0.2667,0.1000,9,-0.4706,-0.1818,NULL,NULL,NULL,NULL,NULL,NULL,19.0000,-9,-27.0000,0.9964,0.009901470766,-0.004197318694,0.2353,0.03529411765,-0.03137254902,NULL,NULL,NULL,0.6364,-0.09696969697,-0.1636363636,"Virginia Beach, VA",47260,2025-08-01 14:37:32.7980000 +00:00,9415
2020-07-01,2020-09-30,90,neighborhood,1,349834,0,"Port Charlotte, FL - Section 36",Port Charlotte,Florida,FL,All Residential,-1,521000.0000,-0.2882513661,0.812173913,337250.0000,0.1633321835,NULL,173.1427,0,0.07017270507,196.5117,0.1598186865,NULL,4,0.3333,3.0000,6,0.2000,2.0000,4,-0.2000,NULL,3,-0.4,-0.2500,NULL,NULL,NULL,126.5000,44.5,112.5000,0.9687,-0.00883340794,-0.02297181926,0.0000,0,0,NULL,NULL,NULL,0.1667,-0.2333333333,0.1666666667,"Punta Gorda, FL",39460,2025-08-01 14:37:32.7980000 +00:00,9416
